Student_Name,Gender,Grade_Level,Section,Payment_Status,Favorite_Subject,Extracurricular,Tuition_Fee,Monthly_Allowance,Current_GPA,Enrollment_Date,Date_of_Birth
Crystal Colon,Non-binary,Grade 1,B-Emerald,Full Payment,Science,Arts Club,15490.66,526,98.89,2026-03-24,2016-02-20
Beverly Walters,Non-binary,Grade 6,B-Emerald,Installment,History,Arts Club,17662.45,2580,78.46,2025-06-16,2017-07-03
Stephanie Rogers,Male,Grade 1,A-Diamond,Full Payment,Science,Glee Club,30004.29,4363,84.93,2025-05-08,2009-05-02
Michael Barnett,Female,Grade 3,D-Ruby,Scholarship,History,Varsity,34118.53,1559,91.4,2026-05-05,2017-06-28
Thomas Davidson,Female,Grade 3,A-Diamond,Installment,Computer Science,None,43087.95,3034,79.81,2025-09-27,2014-06-10
Amy Grimes,Female,Grade 6,A-Diamond,Installment,Literature,None,21631.26,1881,98.86,2025-09-21,2013-04-13
Linda Smith,Non-binary,Grade 6,A-Diamond,Full Payment,Mathematics,Glee Club,31561.96,2246,80.26,2026-02-09,2007-12-19
Jeremy James,Female,Grade 7,C-Sapphire,Late Payment,Literature,Glee Club,39411.54,3833,75.25,2025-05-10,2008-03-11
Charles Shelton,Non-binary,Grade 12,D-Ruby,Scholarship,Literature,Varsity,16059.47,1832,79.67,2026-02-15,2018-03-04
Bridget Davidson,Male,Grade 11,C-Sapphire,Scholarship,History,Glee Club,27428.31,3385,87.54,2026-03-13,2010-10-07
Melissa Baker,Non-binary,Grade 9,C-Sapphire,Full Payment,Computer Science,Varsity,27525.28,4589,76.15,2026-01-09,2010-10-02
Allen Carroll,Female,Grade 7,A-Diamond,Installment,Science,Glee Club,22332.47,1451,77.58,2026-03-23,2016-05-10
Mrs. Deanna Walker,Non-binary,Grade 11,A-Diamond,Full Payment,Computer Science,Glee Club,15402.81,4067,76.41,2025-11-09,2016-08-04
Mr. Alexander Solomon,Female,Grade 11,A-Diamond,Full Payment,Science,Student Council,36588.51,957,88.89,2026-01-20,2016-08-14
Kevin Patel,Male,Grade 1,A-Diamond,Installment,Computer Science,None,18269.31,2318,94.98,2025-09-06,2012-10-21
Logan Johnson,Non-binary,Grade 11,C-Sapphire,Installment,History,Varsity,43663.11,2771,80.35,2025-12-30,2009-09-18
